dataset_size,overlap,alice_hash,alice_blind,alice_double_blind,alice_send,alice_recv,alice_intersection,alice_total,bob_hash,bob_blind,bob_double_blind,bob_send,bob_recv,bob_intersection,bob_total
200,25,2.046358,5.201373,5.434353,0.302894,49.867142,0.069456,66.748041,7.530156,23.829384,23.010750,2.437291,0.020017,7.323433,65.374450
200,25,2.410103,5.875682,5.208245,0.435879,46.250360,0.068727,64.098542,6.103157,22.358624,23.020805,1.723203,0.022153,6.555139,61.313075
200,25,2.134411,5.202732,5.044742,0.851297,47.751845,0.068394,64.682887,6.325599,22.989014,22.747403,2.008111,0.041167,8.038238,62.761914
200,25,2.025450,5.331200,5.175474,0.329320,33.170880,0.077579,53.714352,6.286511,25.016692,6.173811,2.174012,0.022954,8.319523,48.785829
200,25,2.004995,5.174215,5.174798,1.353318,48.402593,0.069529,67.037012,7.771894,23.701670,21.589152,2.669562,0.023646,8.319816,65.002619
200,25,4.075718,8.136172,10.030609,0.408027,31.214540,0.074547,57.616894,8.416007,18.454308,14.076612,1.294456,0.025836,12.459992,55.696531
200,25,4.038255,6.523065,6.561137,0.873157,39.629173,0.075526,60.172516,6.633071,26.113152,14.796656,2.621286,0.022116,8.051546,58.779840
200,25,2.663421,6.334606,7.576237,0.376558,42.544148,0.071187,62.872398,6.788044,24.741402,17.513315,1.522630,0.020899,9.892746,60.872325
200,25,6.300923,8.715968,8.015200,0.286268,31.472471,0.074403,61.668112,5.882271,15.438069,20.807632,3.526253,0.019035,10.770002,57.452047
200,25,2.244372,5.924171,9.374431,5.093984,48.094513,0.072499,74.676811,6.335602,31.087166,19.952181,2.699964,0.021678,11.796441,72.929745
200,25,4.512091,8.599855,8.151599,0.424046,45.588970,0.633558,73.974144,8.865122,24.397469,22.825579,2.083223,0.025333,12.778996,71.940413
200,25,2.409898,9.326500,9.897994,0.420191,53.406882,0.071781,78.830995,7.897081,30.744154,24.067389,1.968566,0.022467,12.204792,77.089110
